epoch,train_loss,train_acc,test_loss,test_acc
0,1.5764,41.5900,1.3363,51.1400
1,1.0406,62.9040,0.9826,66.6400
2,0.7656,73.0520,0.7476,74.4300
3,0.6371,77.9940,0.6630,77.5100
4,0.5376,81.5060,0.6325,78.9000
5,0.4806,83.3480,0.5098,82.6900
6,0.4337,85.0580,0.5206,82.6100
7,0.3943,86.4660,0.5882,80.5300
8,0.3611,87.4420,0.4631,84.3200
9,0.3342,88.4860,0.4307,85.9200
10,0.3117,89.0740,0.4394,85.3400
11,0.2905,89.8600,0.4703,85.1400
12,0.2692,90.5200,0.3761,87.0600
13,0.2609,90.8620,0.3646,88.0200
14,0.2455,91.5480,0.4383,85.9600
15,0.2323,91.9540,0.3862,87.5800
16,0.2170,92.4040,0.3659,88.1800
17,0.2068,92.7760,0.3843,88.0500
18,0.1965,93.1100,0.3406,88.9900
19,0.1863,93.4860,0.3683,88.4000
20,0.1744,93.9320,0.3909,88.1700
21,0.1696,94.1520,0.3733,88.3400
22,0.1609,94.3640,0.3559,88.8300
23,0.1599,94.3940,0.3797,88.1200
24,0.1482,94.8800,0.3150,89.8800
25,0.1405,95.1160,0.3427,89.3300
26,0.1382,95.1100,0.3372,90.0100
27,0.1301,95.3580,0.4262,87.4500
28,0.1286,95.4700,0.3762,88.4700
29,0.1245,95.6580,0.3408,89.6400
