epoch,train_loss,train_acc,test_loss,test_acc
0,0.1950,93.9850,0.0370,98.8700
1,0.0287,99.1550,0.0259,99.1900
2,0.0183,99.4767,0.0283,98.9900
3,0.0122,99.6300,0.0205,99.3600
4,0.0090,99.7283,0.0159,99.4000
5,0.0058,99.8550,0.0175,99.3700
6,0.0047,99.8783,0.0172,99.4600
7,0.0080,99.7683,0.0174,99.4900
8,0.0039,99.9100,0.0194,99.3500
9,0.0028,99.9333,0.0158,99.4800
10,0.0038,99.9050,0.0168,99.4900
11,0.0020,99.9633,0.0147,99.5200
12,0.0016,99.9750,0.0135,99.5300
13,0.0007,99.9983,0.0133,99.5800
14,0.0005,100.0000,0.0128,99.6300
15,0.0005,100.0000,0.0127,99.6300
16,0.0005,100.0000,0.0129,99.6200
17,0.0005,100.0000,0.0126,99.6000
18,0.0006,100.0000,0.0127,99.6200
19,0.0006,100.0000,0.0126,99.6100
20,0.0006,100.0000,0.0125,99.6500
21,0.0006,100.0000,0.0132,99.6000
22,0.0007,100.0000,0.0130,99.6300
23,0.0007,100.0000,0.0124,99.6400
24,0.0007,100.0000,0.0120,99.6600
25,0.0007,100.0000,0.0135,99.6100
26,0.0008,100.0000,0.0127,99.6600
27,0.0008,100.0000,0.0133,99.6000
28,0.0008,100.0000,0.0136,99.6200
29,0.0008,100.0000,0.0138,99.6300
